Sales Person,Geo,Product,Date,Amount,Boxes
SP01,G4,P04,01-07-2022,8414,495
SP02,G3,P14,01-07-2022,532,54
SP12,G2,P08,01-07-2022,5376,269
SP01,G4,P15,01-07-2022,259,22
SP19,G2,P18,01-07-2022,5530,179
SP17,G1,P13,01-07-2022,2184,122
SP20,G6,P04,01-07-2022,1057,71
SP14,G5,P16,01-07-2022,1036,37
SP10,G5,P17,01-07-2022,4039,176
SP06,G4,P01,01-07-2022,12894,478
SP18,G2,P01,01-07-2022,4669,180
SP04,G4,P16,01-07-2022,6377,246
SP22,G3,P05,01-07-2022,4599,256
SP22,G2,P09,01-07-2022,2751,251
SP10,G1,P06,01-07-2022,15596,975
SP06,G1,P11,01-07-2022,8561,330
SP25,G6,P05,01-07-2022,14273,752
SP02,G4,P13,01-07-2022,2506,148
SP19,G3,P10,01-07-2022,2387,89
SP09,G2,P07,01-07-2022,7553,280
SP22,G4,P22,01-07-2022,3409,171
SP15,G2,P22,01-07-2022,3878,216
SP12,G2,P04,01-07-2022,3052,204
SP18,G2,P21,04-07-2022,19229,1013
SP15,G6,P21,04-07-2022,1988,95
SP12,G6,P09,04-07-2022,147,11
SP20,G6,P12,04-07-2022,2401,134
SP11,G2,P17,04-07-2022,2814,94
SP06,G6,P17,04-07-2022,5390,216
SP23,G3,P02,04-07-2022,3920,262
SP19,G3,P19,04-07-2022,7539,943
SP23,G1,P16,05-07-2022,17248,664
SP18,G6,P03,05-07-2022,1176,66
SP17,G5,P13,05-07-2022,9730,573
SP16,G4,P13,05-07-2022,2226,140
SP18,G6,P12,05-07-2022,7063,643
SP07,G4,P11,05-07-2022,7399,275
SP04,G2,P09,05-07-2022,4284,306
SP07,G4,P04,05-07-2022,4865,271
SP06,G4,P19,05-07-2022,3780,315
SP13,G1,P09,05-07-2022,3059,279
SP11,G6,P11,05-07-2022,6622,276
SP04,G1,P20,06-07-2022,644,34
SP08,G1,P11,06-07-2022,4935,171
SP13,G6,P22,06-07-2022,7182,378
SP09,G5,P09,06-07-2022,539,77
SP20,G6,P19,06-07-2022,637,91
SP07,G2,P15,06-07-2022,1470,184
SP10,G2,P13,06-07-2022,1442,61
SP11,G2,P20,06-07-2022,9023,564
SP03,G6,P01,06-07-2022,2709,101
SP19,G3,P21,07-07-2022,5733,338
SP05,G3,P02,07-07-2022,10451,1307
SP18,G1,P18,07-07-2022,11228,388
SP15,G6,P17,07-07-2022,3073,129
SP09,G5,P13,07-07-2022,5467,288
SP08,G2,P20,07-07-2022,4067,226
SP02,G1,P05,08-07-2022,2814,149
SP24,G4,P17,08-07-2022,2716,105
SP22,G5,P09,08-07-2022,3570,325
SP12,G1,P13,08-07-2022,9562,479
SP17,G4,P22,08-07-2022,2373,104
SP08,G1,P17,08-07-2022,2807,123
SP10,G2,P01,08-07-2022,420,14
SP06,G2,P04,08-07-2022,8239,515
SP05,G4,P02,08-07-2022,6797,486
SP22,G4,P13,08-07-2022,6048,319
SP05,G5,P04,08-07-2022,364,21
SP19,G5,P14,08-07-2022,6496,406
SP24,G2,P09,08-07-2022,1057,106
SP08,G6,P04,08-07-2022,357,17
SP08,G5,P07,08-07-2022,6419,257
SP08,G3,P10,08-07-2022,12726,579
SP16,G2,P13,11-07-2022,6006,376
SP15,G6,P08,11-07-2022,5124,285
SP23,G4,P01,11-07-2022,2709,113
SP01,G5,P01,11-07-2022,7238,315
SP06,G1,P14,12-07-2022,6776,424
SP11,G6,P01,12-07-2022,189,8
